drop_ratio,edge_util_std,frac_hot_switches,frac_saturated_edges,jain_fairness,max_edge_util,mean_edge_util,mean_hops,mean_latency,mean_switch_util,offered_load,p50_flow_rate,p95_flow_rate,p95_switch_util,policy,rate,sum_edge_cap,sum_edge_load,switch_util_gini,switch_util_std,throughput,topk_edge_load_share,topology,traffic_weighted_util,workload
0.0433,0.0357,0.001,0.0003,0.8139,1.5806,0.0048,4.8007,5.7721,0.0049,20591.6892,0.2025,0.3458,0.0047,conga_configuration,1,24576000.0,118894.7386,0.9784,0.0551,19699.1825,0.0318,fat_tree,0.0048,incast
0.9226,0.7805,0.0057,0.0135,0.1628,32.9671,0.0779,4.8068,5.7793,0.0785,331092.1086,0.0215,0.0358,0.0512,conga_configuration,2,24576000.0,1913709.5014,0.9688,1.2069,25611.2538,0.0522,fat_tree,0.0779,incast
0.9676,7.805,0.0349,0.0808,0.0309,329.6711,0.7787,4.8068,5.7793,0.785,3310921.0858,0.0215,0.0359,0.512,conga_configuration,20,24576000.0,19137095.0139,0.9688,12.0687,107168.387,0.0522,fat_tree,0.7787,incast
0.1967,0.378,0.4168,0.32,0.8499,2.8018,0.7991,4.9334,5.9334,0.8067,3310044.1953,3.4503,5.4665,1.4528,conga_configuration,20,24576000.0,19639662.0391,0.2771,0.3912,2658857.1129,0.0004,fat_tree,0.7991,random_workload
0.8519,1.1389,0.3647,0.0902,0.8844,13.2345,0.3231,2.9981,3.9981,0.7523,3310044.1953,0.608,0.9392,1.4575,ospf_configuration,20,40960000.0,13233693.087,0.3115,0.415,490304.6504,0.003,leaf_spine,0.3231,random_workload
0.9259,2.2778,0.7163,0.1738,0.8765,26.4691,0.6462,2.9981,3.9981,1.5046,6620088.3906,0.608,0.9392,2.915,ospf_configuration,40,40960000.0,26467386.1739,0.3115,0.83,490815.0168,0.003,leaf_spine,0.6462,random_workload
0.8519,1.1389,0.3647,0.0902,0.8844,13.2345,0.3231,2.9981,3.9981,0.7523,3310044.1953,0.608,0.9392,1.4575,eigrp_configuration,20,40960000.0,13233693.087,0.3115,0.415,490304.6504,0.003,leaf_spine,0.3231,random_workload
0.9259,2.2778,0.7163,0.1738,0.8765,26.4691,0.6462,2.9981,3.9981,1.5046,6620088.3906,0.608,0.9392,2.915,eigrp_configuration,40,40960000.0,26467386.1739,0.3115,0.83,490815.0168,0.003,leaf_spine,0.6462,random_workload
0.1563,0.3237,0.3646,0.0652,0.8373,2.8018,0.3231,2.9981,3.9981,0.7523,3310044.1953,3.5912,5.9186,1.4571,ospf_ecmp_configuration,20,40960000.0,13233693.087,0.3099,0.4087,2792817.7957,0.0006,leaf_spine,0.3231,random_workload
0.5012,0.6473,0.7162,0.1724,0.8816,5.6035,0.6462,2.9981,3.9981,1.5046,6620088.3906,4.1165,6.6072,2.9142,ospf_ecmp_configuration,40,40960000.0,26467386.1739,0.3099,0.8174,3302017.5703,0.0006,leaf_spine,0.6462,random_workload
